"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Extension","uri://education.mn.gov/InstructionalApproachDescriptor","InstructionalApproachDescriptor","ABA","Applied Behavior Analysis","Applied Behavior Analysis","25"
"Extension","uri://education.mn.gov/InstructionalApproachDescriptor","InstructionalApproachDescriptor","DR","Dialogic Reading","Dialogic Reading","16"
"Extension","uri://education.mn.gov/InstructionalApproachDescriptor","InstructionalApproachDescriptor","ISB","Interactive Shared Book Reading","Interactive Shared Book Reading","31"
"Extension","uri://education.mn.gov/InstructionalApproachDescriptor","InstructionalApproachDescriptor","L","Leap","Leap","4"
"Extension","uri://education.mn.gov/InstructionalApproachDescriptor","InstructionalApproachDescriptor","LI","Letter Identification","Letter Identification","21"
"Extension","uri://education.mn.gov/InstructionalApproachDescriptor","InstructionalApproachDescriptor","NONE","No organized instructional approach used.","No organized instructional approach used.","41"
"Extension","uri://education.mn.gov/InstructionalApproachDescriptor","InstructionalApproachDescriptor","OTHER","Use OTHER when the EE Inst. Approach is not listed.","Use OTHER when the EE Inst. Approach is not listed.","51"
"Extension","uri://education.mn.gov/InstructionalApproachDescriptor","InstructionalApproachDescriptor","PAT","Phonological Awareness Training","Phonological Awareness Training","31"
"Extension","uri://education.mn.gov/InstructionalApproachDescriptor","InstructionalApproachDescriptor","PSP","Primary Service Provider","Primary Service Provider","24"
"Extension","uri://education.mn.gov/InstructionalApproachDescriptor","InstructionalApproachDescriptor","R","RTI","RTI","3"
"Extension","uri://education.mn.gov/InstructionalApproachDescriptor","InstructionalApproachDescriptor","SBR","Shared Book Reading","Shared Book Reading","19"
"Extension","uri://education.mn.gov/InstructionalApproachDescriptor","InstructionalApproachDescriptor","TD","Transdisciplinary Approach (Only used with Program = Special Ed)","Transdisciplinary Approach (Only used with Program = Special Ed)","64"
"Extension","uri://education.mn.gov/InstructionalApproachDescriptor","InstructionalApproachDescriptor","TE","Teach","Teach","5"
