"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","21st Century Learning Center Grant","21st Century Learning Center Grant","21st Century Learning Center Grant","34"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","Alternative Delivery Of SIS","Alternative Delivery Of Specialized Instructional Services","Alternative Delivery Of Specialized Instructional Services","58"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","Coordinated Early Intervening Services","Coordinated Early Intervening Services","Coordinated Early Intervening Services","38"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","Distance Learner","Distance Learner","Distance Learner","16"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","Early Childhood Screening","Early Childhood Screening","Early Childhood Screening","25"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","EE-ECFE","Early Education - Early Childhood Family Education","Early Education - Early Childhood Family Education","50"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","EE-SR","Early Education - School Readiness","Early Education - School Readiness","34"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","English Learner","English Learner","English Learner","15"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","Gifted and Talented","Gifted and Talented","Gifted and Talented","19"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","Homeless","Homeless","Homeless","8"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","MCCC-ECSE","MCCC Early Childhood Special Education","MCCC Early Childhood Special Education","38"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","MCCC-EI","MCCC Early Intervention (Birth to 2)","MCCC Early Intervention (Birth to 2)","36"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","MCCC-VPK","MCCC Voluntary Pre-Kindergarten","MCCC Voluntary Pre-Kindergarten","31"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","PSEO Concurrent","PSEO Concurrent","PSEO Concurrent","15"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","PSEO Program","PSEO Program","PSEO Program","12"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","SAAP","State Approved Alternative Program","State Approved Alternative Program","34"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","School Food Service","School Food Service","School Food Service","19"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","Section 504 Plan","Section 504 Plan","Section 504 Plan","16"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","Special Education","Special Education","Special Education","17"
"Core","uri://education.mn.gov/ProgramTypeDescriptor","ProgramTypeDescriptor","Title I Part A","Served in a Title I Part A Program","Served in a Title I Part A Program","34"
