"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Extension","uri://education.mn.gov/SiteBasedInitiativeDescriptor","SiteBasedInitiativeDescriptor","CEM","Classroom Engagement","Classroom Engagement","20"
"Extension","uri://education.mn.gov/SiteBasedInitiativeDescriptor","SiteBasedInitiativeDescriptor","CLASS","The Classroom Assessment Scoring System","The Classroom Assessment Scoring System","39"
"Extension","uri://education.mn.gov/SiteBasedInitiativeDescriptor","SiteBasedInitiativeDescriptor","EQIP","Evidence-based Quality Intervention Practices","Evidence-based Quality Intervention Practices","45"
"Extension","uri://education.mn.gov/SiteBasedInitiativeDescriptor","SiteBasedInitiativeDescriptor","MMC","Minnesota Math Corp","Minnesota Math Corp","19"
"Extension","uri://education.mn.gov/SiteBasedInitiativeDescriptor","SiteBasedInitiativeDescriptor","MRC","Minnesota Reading Corp","Minnesota Reading Corp","22"
"Extension","uri://education.mn.gov/SiteBasedInitiativeDescriptor","SiteBasedInitiativeDescriptor","NONE","No site-base initiative used","No site-base initiative used","28"
"Extension","uri://education.mn.gov/SiteBasedInitiativeDescriptor","SiteBasedInitiativeDescriptor","NW","Numbers Work","Numbers Work","12"
"Extension","uri://education.mn.gov/SiteBasedInitiativeDescriptor","SiteBasedInitiativeDescriptor","PBIS","Positive Behavior Intervention and Support","Positive Behavior Intervention and Support","42"
"Extension","uri://education.mn.gov/SiteBasedInitiativeDescriptor","SiteBasedInitiativeDescriptor","PECC","Parent Education Core Curriculum","Parent Education Core Curriculum","32"
"Extension","uri://education.mn.gov/SiteBasedInitiativeDescriptor","SiteBasedInitiativeDescriptor","PYRAMID","Pyramid Model","Pyramid Model","13"
"Extension","uri://education.mn.gov/SiteBasedInitiativeDescriptor","SiteBasedInitiativeDescriptor","RPPM","Relationship-based Primary Provider Model","Relationship-based Primary Provider Model","41"
