"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Extension","uri://education.mn.gov/StateAidCategoryDescriptor","StateAidCategoryDescriptor","00","00 - Regular; resident enrolled at the resident district","00 - Regular; resident enrolled at the resident district","56"
"Extension","uri://education.mn.gov/StateAidCategoryDescriptor","StateAidCategoryDescriptor","01","01 - Enrollment Options/Open Enrollment,","01 - Enrollment Options/Open Enrollment,","40"
"Extension","uri://education.mn.gov/StateAidCategoryDescriptor","StateAidCategoryDescriptor","02","02 - Foreign Exchange.","02 - Foreign Exchange.","22"
"Extension","uri://education.mn.gov/StateAidCategoryDescriptor","StateAidCategoryDescriptor","03","03 - Graduation Incentives","03 - Graduation Incentives","26"
"Extension","uri://education.mn.gov/StateAidCategoryDescriptor","StateAidCategoryDescriptor","04","04 - Enrollment Choice for 11th and 12th Grade Students","04 - Enrollment Choice for 11th and 12th Grade Students","55"
"Extension","uri://education.mn.gov/StateAidCategoryDescriptor","StateAidCategoryDescriptor","05","05 - Inter-district Cooperative Agreement,","05 - Inter-district Cooperative Agreement,","42"
"Extension","uri://education.mn.gov/StateAidCategoryDescriptor","StateAidCategoryDescriptor","06","06 - Cooperative Facilities","06 - Cooperative Facilities","27"
"Extension","uri://education.mn.gov/StateAidCategoryDescriptor","StateAidCategoryDescriptor","08","08 - Charter School.","08 - Charter School.","20"
"Extension","uri://education.mn.gov/StateAidCategoryDescriptor","StateAidCategoryDescriptor","10","10 - Joint Powers Cooperatives","10 - Joint Powers Cooperatives for Special Education and/or Secondary Vocational Programs","30"
"Extension","uri://education.mn.gov/StateAidCategoryDescriptor","StateAidCategoryDescriptor","11","Non-tuition Parent Initiated Agreement serving district","Non-tuition Parent Initiated Agreement serving district","55"
"Extension","uri://education.mn.gov/StateAidCategoryDescriptor","StateAidCategoryDescriptor","14","14 - Enrollment in Another State","14 - Enrollment in Another State","32"
"Extension","uri://education.mn.gov/StateAidCategoryDescriptor","StateAidCategoryDescriptor","15","Resident of another state/country neither district","Resident of another state/country neither district","50"
