"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","0","Other language assessment","Other language assessment","25"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","0007","ACT","ACT","3"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","0008","ACT with Writing","ACT with Writing","16"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","0017","SAT","SAT","3"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","0018","SAT with Essay","SAT with Essay","14"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","1","ACTFL AAPPL","ACTFL AAPPL","11"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","2","AVANT STAMP4S","AVANT STAMP4S","13"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","3","AVANT WorldSpeak and Minnesota Bilingual Seals Assessment","AVANT WorldSpeak and Minnesota Bilingual Seals Assessment","57"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","4","AP Language Exams","AP Language Exams","17"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","5","IB DP Language A Exam","IB DP Language A Exam","21"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","6","IB DP Language B Exam","IB DP Language B Exam","21"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","7","Minnesota Bilingual Seals Assessments","Minnesota Bilingual Seals Assessments","37"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","8","Gallaudet ASLPI","Gallaudet ASLPI","15"
"Core","uri://education.mn.gov/AssessmentCategoryDescriptor","AssessmentCategoryDescriptor","9","RIT SLPI","RIT SLPI","8"
