"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","01","01 ? Speech or Language Impairments","01 ? Speech or Language Impairments","35"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","02","02 ?Developmental Cognitive Disability: Mild-Moderate","02 - Consists of special instruction and services for the Mild to Moderate disabled individuals whose development rate is two-thirds to one-half of the average rate in the intellectual and adaptive behavior domains","53"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","03","03 ?Developmental Cognitive Disability: Severe-Profound","03 - Special instruction and services for individuals whose development rate is one-half to one-third of the average rate in the intellectual and adaptive behavior domains.  Severe - Profound approved change not in manual 3-21-18","55"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","04","04 ? Physically Impaired","04 ? Physically Impaired","24"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","05","05 ? Deaf and Hard of Hearing","05 ? Deaf and Hard of Hearing","29"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","06","06 ? Visually Impaired","06 ? Visually Impaired","22"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","07","07 ? Specific Learning Disability","07 ? Specific Learning Disability","33"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","08","08 ? Emotional or Behavioral Disorders","08 ? Emotional or Behavioral Disorders","38"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","09","09 ? Deaf ? Blind","09 ? Deaf ? Blind","17"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","10","10 ? Other Health Disabilities","10 ? Other Health Disabilities","30"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","11","11 ? Autism Spectrum Disorders","11 ? Autism Spectrum Disorders","30"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","12","12 ? Developmental Delay","12 ? Developmental Delay","24"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","14","14 - Traumatic Brain Injury","14 - Traumatic Brain Injury","27"
"Core","uri://education.mn.gov/DisabilityDescriptor","DisabilityDescriptor","16","16 ? Severely Multiply Impaired","16 ? Severely Multiply Impaired","31"
