"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","End of Year","End of Year","End of Year","11"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Fifth Six Weeks","Fifth Six Weeks","Fifth Six Weeks","15"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","First Nine Weeks","First Nine Weeks","First Nine Weeks","16"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","First Semester","First Semester","First Semester","14"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","First Six Weeks","First Six Weeks","First Six Weeks","15"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","First Summer Session","First Summer Session","First Summer Session","20"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","First Trimester","First Trimester","First Trimester","15"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Fourth Nine Weeks","Fourth Nine Weeks","Fourth Nine Weeks","17"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Fourth Six Weeks","Fourth Six Weeks","Fourth Six Weeks","16"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Second Nine Weeks","Second Nine Weeks","Second Nine Weeks","17"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Second Semester","Second Semester","Second Semester","15"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Second Six Weeks","Second Six Weeks","Second Six Weeks","16"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Second Summer Session","Second Summer Session","Second Summer Session","21"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Second Trimester","Second Trimester","Second Trimester","16"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Sixth Six Weeks","Sixth Six Weeks","Sixth Six Weeks","15"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Summer Semester","Summer Semester","Summer Semester","15"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Third Nine Weeks","Third Nine Weeks","Third Nine Weeks","16"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Third Six Weeks","Third Six Weeks","Third Six Weeks","15"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Third Summer Session","Third Summer Session","Third Summer Session","20"
"Core","uri://ed-fi.org/GradingPeriodDescriptor","GradingPeriodDescriptor","Third Trimester","Third Trimester","Third Trimester","15"
