"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","1043","01043 - No school completed","01043 - No school completed","27"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","1044","01044 - High school diploma","01044 - High school diploma","27"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","1049","01049 - Some college but no degree","01049 - Some college but no degree","34"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","1050","01050 - Associate's degree (two years or more)","01050 - Associate's degree (two years or more)","46"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","1051","01051 - Bachelor's (Baccalaureate) degree","01051 - Bachelor's (Baccalaureate) degree","41"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","1054","01054 - Master's degree (e.g., M.A., M.S.)","01054 - Master's degree (e.g., M.A., M.S.)","42"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","1057","01057 - Doctoral (Doctor's) degree","01057 - Doctoral (Doctor's) degree","34"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","1809","01809 - 12th grade, no diploma","01809 - 12th grade, no diploma","30"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","2409","02409 - High school equivalency (e.g., GED)","02409 - High school equivalency (e.g., GED)","43"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","788","00788 - Preschool","00788 - Preschool","17"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","790","00790 - First grade","00790 - First grade","19"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","791","00791 - Second grade","00791 - Second grade","20"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","792","00792 - Third grade","00792 - Third grade","19"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","793","00793 - Fourth grade","00793 - Fourth grade","20"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","794","00794 - Fifth grade","00794 - Fifth grade","19"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","795","00795 - Sixth grade","00795 - Sixth grade","19"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","796","00796 - Seventh grade","00796 - Seventh grade","21"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","798","00798 - Eighth grade","00798 - Eighth grade","20"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","799","00799 - Ninth grade","00799 - Ninth grade","19"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","800","00800 - Tenth grade","00800 - Tenth grade","19"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","801","00801 - Eleventh Grade","00801 - Eleventh Grade","22"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","805","00805 - Kindergarten","00805 - Kindergarten","20"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","819","00819 - Career and Technical Education certificate","00819 - Career and Technical Education certificate","50"
"Core","uri://education.mn.gov/LevelOfEducationDescriptor","LevelOfEducationDescriptor","9999","09999 - Other","09999 - Other","13"
