"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/ReasonExitedDescriptor","ReasonExitedDescriptor","PE-01","Program ended - midyear (ECFE only)","EE Program ended - midyear - Short term course ended (ECFE only)","35"
"Core","uri://education.mn.gov/ReasonExitedDescriptor","ReasonExitedDescriptor","PE-02","Program ended - year end","Program ended - year end","24"
"Core","uri://education.mn.gov/ReasonExitedDescriptor","ReasonExitedDescriptor","T-01","Transferred to another MN district EE program","Student withdrawn by parent, transferred to another district prenatal to prekindergarten program","45"
"Core","uri://education.mn.gov/ReasonExitedDescriptor","ReasonExitedDescriptor","T-02","Transferred to a MN nonpublic EE program","Student withdrawn by parent, transferred to a nonpublic prenatal to prekindergarten program","40"
"Core","uri://education.mn.gov/ReasonExitedDescriptor","ReasonExitedDescriptor","W-01","Withdrawn, expected back next section","Student withdrawn by parent, expected back next section","37"
"Core","uri://education.mn.gov/ReasonExitedDescriptor","ReasonExitedDescriptor","W-02","Withdrawn, expected back next year","Student withdrawn by parent, expected back next year","34"
"Core","uri://education.mn.gov/ReasonExitedDescriptor","ReasonExitedDescriptor","W-03","Withdrawn, lack of transportation","Student withdrawn by parent, lack of transportation","33"
"Core","uri://education.mn.gov/ReasonExitedDescriptor","ReasonExitedDescriptor","W-04","Withdrawn, moved out of state or country","Student withdrawn by parent, moved out of state or country","40"
"Core","uri://education.mn.gov/ReasonExitedDescriptor","ReasonExitedDescriptor","W-05","Withdrawn, student died","Student died","23"
"Core","uri://education.mn.gov/ReasonExitedDescriptor","ReasonExitedDescriptor","W-06","Withdrawn, no reason specified","Student withdrawn by parent, no reason specified","30"
