"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","Adult School","Adult School","Adult School","12"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","All Levels","All Levels","All Levels","10"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","Elementary School","Elementary School","Elementary School","17"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","Elementary/Secondary School","Elementary/Secondary School","Elementary/Secondary School","27"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","High School","High School","High School","11"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","Infant/toddler School","Infant/toddler School","Infant/toddler School","21"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","Intermediate School","Intermediate School","Intermediate School","19"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","Junior High School","Junior High School","Junior High School","18"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","Middle School","Middle School","Middle School","13"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","Other Combination","Other Combination","Other Combination","17"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","Other Secondary","Other Secondary","Other Secondary","15"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","Preschool/early childhood","Preschool/early childhood","Preschool/early childhood","25"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","Primary School","Primary School","Primary School","14"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","SecondarySchool","SecondarySchool","SecondarySchool","15"
"Core","uri://ed-fi.org/SchoolCategoryDescriptor","SchoolCategoryDescriptor","Ungraded","Ungraded","Ungraded","8"
