"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","0","Unassigned classification","Unassigned","25"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","10","Elementary School (Grades PK-6)","Elementary","31"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","20","Middle School (Grades 5-8)","Middle School","26"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","31","Junior High School (Grades 7-8 or 7-9)","Junior High","38"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","32","Senior High School (Grades 9-12)","Senior High","32"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","33","Secondary School (Grades 7-12)","Secondary School","30"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","40","Elementary/Secondary Combined (Grades K-12 limited to District Type 34)","Combined School (Grades K-12 limited to District Type 34 Bureau of Indian Education) ","71"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","41","Public Area Learning Center ALC (State approved)","Area Learning Center","48"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","42","Public Area Learning Program ALP (State approved)","Area Learning Program","49"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","43","Private Alternative Program","Alternative Program","27"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","44","Reserved","Reserved","8"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","45","Targeted Services Program, ALC for Grades K-08 (State approved)","Targeted Services Program","63"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","46","Distance Learning Program OLL (State approved)","Distance Learning Program","46"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","50","Special Education","Special Education","17"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","51","Special Education ESY (Extended School Year)","Special Education ESY","44"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","55","Combined Special Education and Secondary Vocational Education Program","Special Education/Vocational","69"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","60","Secondary Vocational Program","Secondary Vocational","28"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","70","Delinquent Student/Correctional Program","Delinquent/Correctional Program","39"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","71","Miscellaneous Program (assignment is now limited)","Miscellaneous Program","49"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","72","Neglected Student Program, Title I","Neglected Student Program","34"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","73","Homeless Student Program, Title I","Homeless Student Program","33"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","74","Hospital/Medical/Partial Hospitalization Program","Hospital/Medical Program","48"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","75","Telecommunications","Telecommunications","18"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","76","Educational Oversight to Private Residential Care and Treatment","Oversight to Residential Care (State approved)","63"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","77","Educational Oversight to Public Residential Care and Treatment","Oversight to Residential Care (State approved)","62"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","78","Educational Oversight to Private Care and Treatment Day Program","Oversight to Private Care and Treatment Day Program","63"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","79","Educational Oversight to Public Care and Treatment Day Program","Oversight to Public Care and Treatment Day Program","62"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","80","Technical Colleges (PSEO)","Technical Colleges (PSEO)","25"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","81","Postsecondary School/Program","Postsecondary Program","28"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","82","Community and Adult Education Program","Community/Adult Education Program","37"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","83","Early Childhood Screening","Early Childhood Screening","25"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","84","Parenting Education (ECFE)","Parenting Education (ECFE)","26"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","85","Prekindergarten/Preschool (School Readiness)","Prekindergarten/Preschool (School Readiness)","44"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","90","Administrative Program","Administrative Program","22"
"Extension","uri://education.mn.gov/SchoolClassificationDescriptor","SchoolClassificationDescriptor","99","Not used anymore","Not used anymore","16"
