"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/CourseLevelCharacteristicDescriptor","courseLevelCharacteristicDescriptor","ABE","ABE Indicator","ABE Indicator","13"
"Core","uri://education.mn.gov/CourseLevelCharacteristicDescriptor","courseLevelCharacteristicDescriptor","AP","AP Indicator","AP Indicator","12"
"Core","uri://education.mn.gov/CourseLevelCharacteristicDescriptor","courseLevelCharacteristicDescriptor","BI","Billingual Indicator","Billingual Indicator","20"
"Core","uri://education.mn.gov/CourseLevelCharacteristicDescriptor","courseLevelCharacteristicDescriptor","EOC","End Of Course Indicator","End Of Course Indicator","23"
"Core","uri://education.mn.gov/CourseLevelCharacteristicDescriptor","courseLevelCharacteristicDescriptor","FPI","Federal Program Indicator","Federal Program Indicator","25"
"Core","uri://education.mn.gov/CourseLevelCharacteristicDescriptor","courseLevelCharacteristicDescriptor","IB","IB Indicator","IB Indicator","12"
"Core","uri://education.mn.gov/CourseLevelCharacteristicDescriptor","courseLevelCharacteristicDescriptor","IS","Independent Study Indicator","Independent Study Indicator","27"
"Core","uri://education.mn.gov/CourseLevelCharacteristicDescriptor","courseLevelCharacteristicDescriptor","MM","Multiple Marks Indicator","Multiple Marks Indicator","24"
"Core","uri://education.mn.gov/CourseLevelCharacteristicDescriptor","courseLevelCharacteristicDescriptor","PBL","Project Based Learning Indicator","Project Based Learning Indicator","32"
"Core","uri://education.mn.gov/CourseLevelCharacteristicDescriptor","courseLevelCharacteristicDescriptor","PLW","Project Lead The Way Indicator","Project Lead The Way Indicator","30"
"Core","uri://education.mn.gov/CourseLevelCharacteristicDescriptor","courseLevelCharacteristicDescriptor","RC","Rigorous Course Work Indicator","Rigorous Course Work Indicator","30"
"Core","uri://education.mn.gov/CourseLevelCharacteristicDescriptor","courseLevelCharacteristicDescriptor","SPI","State Program Indicator","State Program Indicator","23"
"Core","uri://education.mn.gov/CourseLevelCharacteristicDescriptor","courseLevelCharacteristicDescriptor","UC","Unclassified Course Indicator","Unclassified Course Indicator","29"
