"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","1","ENGLISH_LANG_LIT","English Language Arts and Literature K-12","16"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","10","INFORMATION_SCIENCES","Computer Information Sciences K-12","20"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","11","COMMUNICATIONS_TECH","Communication and Audio/Visual Technology K-12","19"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","12","BUSINESS_MARKETING","Business and Marketing K-12","18"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","13","MANUFACTURING","Manufacturing K-12","13"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","14","HEALTH_SCIENCES","Health Care Sciences K-12","15"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","15","PUBLIC_PROTECT_GOVT","Public, Protective and Government Services K-12","19"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","16","HOSP_TOUR","Hospitality and Tourism K-12","9"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","17","ARCH_CONSTRUCTION","Architecture and Construction K-12","17"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","18","AGRI_FOOD_NATURAL","Agriculture, Food and Natural Resources K-12","17"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","19","HUMAN_SERVICES","Human Services K-12","14"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","2","MATHEMATICS","Mathematics K-12","11"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","20","TRANS_DIST_LOGI","Transportation, Distribution and Logistics K-12","15"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","21","ENGG_TECH","Engineering and Technology K-12","9"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","22","FAMILY_CONSUMER_SCI","Family and Consumer Science K-12","19"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","23","ACADEMIC_CAREER_DEV","Academic and Career Development K-12 (Use '23' for reporting elective credit on Multiple Subject Area courses K-12.)","19"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","24","WORLD_LANG_LIT4","World Languages and Literature K-12 (Starting 2017-18)","15"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","3","PHYSICAL_SCIENCE","Life and Physical Science K-12","16"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","4","SOCIAL_SCIENCES","Social Sciences and History K-12","15"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","5","FINE_PERFORMING_ARTS","Visual and Performing Arts K-12","20"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","6","WORLD_LANG_LIT","World Languages and Literature K-12 (Retired 2018-19)","14"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","7","RELIGIOUS_EDUCATION","Religious Education and Theology K-12","19"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","8","PHYSICAL_EDUCATION","Physical, Health and Safety Education K-12","18"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","89","EE_SPECIAL_EDUCATION","Special Education (EE)","20"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","9","MILITARY_SCIENCE","Military Science K-12","16"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","90","EE_AGE_LEVEL_PROGRAM","Comprehensive Age-Level Programs (EE)","20"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","91","EE_NON_SPECIFIC","Non-Subject Specific Classifications (EE)","15"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","99","EARLY_ED","Early Education","8"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","M","Mathematics","Mathematics","11"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","R","Reading","Reading","7"
"Core","uri://education.mn.gov/AcademicSubjectDescriptor","AcademicSubjectDescriptor","S","Science","Science","7"
