"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","12","12 Point Type","12 Point Type","13"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","18","18 Point Type","18 Point Type","13"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","24","24 Point Type","24 Point Type","13"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","AT","Assistive Technologies","Assistive Technologies","22"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","BC","Braille - Contracted","Braille - Contracted","20"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","BU","Braille - Uncontracted","Braille - Uncontracted","22"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","HC","Handheld Calculator","Handheld Calculator","19"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","HM","Hmong","Hmong","5"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","MC","Accommodated Text-to-Speech","Accommodated Text-to-Speech","27"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","MS","Script","Script","6"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","MT","Made Tape of Answers","Made Tape of Answers","20"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","OA","Other Accommodation","Other Accommodation","19"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","OL","Other Linguistic Support","Other Linguistic Support","24"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","SC","Scribe","Scribe","6"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","SO","Somali","Somali","6"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","SP","Spanish","Spanish","7"
"Core","uri://education.mn.gov/mcamtas/AccommodationDescriptor","AccommodationDescriptor","TD","Translated Directions","Translated Directions","21"
