"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","ai-cherokee","American Indian - Cherokee","American Indian - Cherokee","26"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","ai-dakota","American Indian - Dakota/Lakota","American Indian - Dakota/Lakota","31"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","ai-notindicated","American Indian - Decline to indicate","American Indian - Decline to indicate","37"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","ai-ojibwe","American Indian - Anishinaabe/Ojibwe","American Indian - Anishinaabe/Ojibwe","36"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","ai-other","American Indian - Other","American Indian - Other North American Indian Tribal Affiliation","23"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","ai-unknown","American Indian - Unknown","American Indian - Unknown","25"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","as-burmese","Asian - Burmese","Asian - Burmese","15"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","as-chinese","Asian - Chinese","Asian - Chinese","15"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","as-filipino","Asian - Filipino","Asian - Filipino","16"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","as-hmong","Asian - Hmong","Asian - Hmong","13"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","as-indian","Asian - Indian","Asian - Indian","14"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","as-karen","Asian - Karen","Asian - Karen","13"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","as-korean","Asian - Korean","Asian - Korean","14"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","as-notindicated","Asian - Decline to indicate","Asian - Decline to indicate","27"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","as-other","Asian - Other","Asian - Other","13"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","as-unknown","Asian - Unknown","Asian - Unknown","15"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","as-vietnamese","Asian - Vietnamese","Asian - Vietnamese","18"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","bl-africanamerican","Black - African-American","Black - African-American","24"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","bl-ethiopianoromo","Black - Ethiopian-Oromo","Black - Ethiopian-Oromo","23"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","bl-ethiopianother","Black - Ethiopian-Other","Black - Ethiopian-Other","23"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","bl-liberian","Black - Liberian","Black - Liberian","16"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","bl-nigerian","Black - Nigerian","Black - Nigerian","16"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","bl-notindicated","Black - Decline to indicate","Black - Decline to indicate","27"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","bl-other","Black - Other","Black - Other","13"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","bl-somali","Black - Somali","Black - Somali","14"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","bl-unknown","Black - Unknown","Black - Unknown","15"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","hl-colombian","Hispanic/Latino - Colombian","Hispanic/Latino - Colombian","27"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","hl-ecuadorian","Hispanic/Latino - Ecuadorian","Hispanic/Latino - Ecuadorian","28"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","hl-guatemalan","Hispanic/Latino - Guatemalan","Hispanic/Latino - Guatemalan","28"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","hl-mexican","Hispanic/Latino - Mexican","Hispanic/Latino - Mexican","25"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","hl-notindicated","Hispanic/Latino - Decline to indicate","Hispanic/Latino - Decline to indicate","37"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","hl-other","Hispanic/Latino - Other","Hispanic/Latino - Other","23"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","hl-puertorican","Hispanic/Latino - Puerto Rican","Hispanic/Latino - Puerto Rican","30"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","hl-salvadoran","Hispanic/Latino - Salvadoran","Hispanic/Latino - Salvadoran","28"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","hl-spanish","Hispanic/Latino - Spaniard/Spanish/Spanish-American","Hispanic/Latino - Spaniard/Spanish/Spanish-American","51"
"Core","uri://education.mn.gov/AncestryEthnicOriginDescriptor","AncestryEthnicOriginDescriptor","hl-unknown","Hispanic/Latino - Unknown","Hispanic/Latino - Unknown","25"
