"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","AssessmentReportingMethodDescriptor","ACHL","Assessment Achievement Level","Assessment Achievement Level","28"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","AssessmentReportingMethodDescriptor","LEXL","Lexile Lower","Lexile Lower","12"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","AssessmentReportingMethodDescriptor","LEXS","Lexile Score","Lexile Score","12"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","AssessmentReportingMethodDescriptor","LEXU","Lexile Upper","Lexile Upper","12"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","AssessmentReportingMethodDescriptor","QNTL","Quantile Lower","Quantile Lower","14"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","AssessmentReportingMethodDescriptor","QNTS","Quantile Score","Quantile Score","14"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","AssessmentReportingMethodDescriptor","QNTU","Quantile Upper","Quantile Upper","14"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","AssessmentReportingMethodDescriptor","RSCO","RAW SCORE","RAW SCORE","9"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","AssessmentReportingMethodDescriptor","SEM","Standard Error of Measurement","Standard Error of Measurement","29"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","AssessmentReportingMethodDescriptor","SES","Standard Error of Measurement for Scale Score","Standard Error of Measurement for Scale Score","45"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","AssessmentReportingMethodDescriptor","SPL","Strand Performance Level","Strand Performance Level","24"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","AssessmentReportingMethodDescriptor","SSCC","SCALE SCORE (Career College Readiness Score)","SCALE SCORE (Career College Readiness Score)","44"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","AssessmentReportingMethodDescriptor","SSCO","SCALE SCORE","SCALE SCORE","11"
