"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","AEPS","Assessment, Evaluation, and Programming System","Assessment, Evaluation, and Programming System","46"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","ASQ","Ages and Stages Questionnaires","Ages and Stages Questionnaires (Brookes Publishing)","30"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","ASQ:SE","Ages and Stages Questionnaires: Social Emotional","Ages and Stages Questionnaires: Social Emotional (Brookes Publishing)","48"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","BDI-2","Battelle Developmental Inventory","Battelle Developmental Inventory, Second Edition (Nelson Education)","32"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","BRI","Brigance Inventory of Early Development","Brigance Inventory of Early Development (3nd edition)","39"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","CKPA","Core Knowledge Preschool Assessment Kit","Core Knowledge Preschool Assessment Kit","39"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","DRDP_IT","Desired Results Developmental Profile","Desired Results Developmental Profile-Infant/Toddler (DRDP-IT)","37"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","DRDP-PS","Desired Results Developmental Profile-Preschool","Desired Results Developmental Profile-Preschool (DRDP-PS)","47"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","ELS-P","Early Learning Scale-Preschool","Early Learning Scale-Preschool","30"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","FUNSHNA","FunShine Express-Buttercups and Fireflies Assessments","FunShine Express-Buttercups and Fireflies Assessments","53"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","GOLD","Teaching Strategies-Gold Assessment","Teaching Strategies-Gold Assessment (TS-GOLD)","35"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","HELP","Hawaii Early Learning Profile","Hawaii Early Learning Profile","29"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","HSCOR","High/Scope Child Observation Record Advantage","High/Scope Child Observation Record Advantage (COR Advantage)","45"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","INVESTGT","The InvestiGator Club","The InvestiGator Club: Prekindergarten Assessment and Intervention System","21"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","LAP-3","Learning Accomplishment Profile","Learning Accomplishment Profile (LAP-3) 3rd Edition","31"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","LCPN","LifeCubby Progress Notes","LifeCubby Progress Notes","24"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","LCVA","LifeCubby Vine Assessments","LifeCubby Vine Assessments","26"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","MGTAS","Mother Goose Time Assessment System (2015)","Mother Goose Time Assessment System (2015)","42"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","NONE","No assessment tool used","No assessment tool used","23"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","NPP","New Portage Project: Birth to Six","New Portage Project: Birth to Six","33"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","OTHER","Use OTHER when the Assessment Tool is not listed","Use OTHER when the Assessment Tool is not listed","48"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","OUNCE","Ounce Scale Assessment System","Ounce Scale Assessment System","29"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","OWL","Opening the World of Learning","Opening the World of Learning (OWL): Planning and Assessment Teacher's Guide and Observation Checklist","29"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","POCET","Preschool Observation Checklist and Evaluation Tool","Preschool Observation Checklist and Evaluation Tool (POCET)","51"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","POCETE","Preschool Observation Checklist and Evaluation Tool","Preschool Observation Checklist and Evaluation Tool (POCET)-Infant and Toddler","51"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","PRO-LADR","myIGDIs Profile of Preschool Learning and Development Readiness","myIGDIs Profile of Preschool Learning and Development Readiness (Pro-LADR) 1st Edition and 2nd Edition","63"
"Extension","uri://education.mn.gov/AssessmentToolDescriptor","AssessmentToolDescriptor","WSS","Work Sampling System","Work Sampling System","20"
