"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/CurriculumUsedDescriptor","CurriculumUsedDescriptor","123","1-2-3 Learn Curriculum","1-2-3 Learn Curriculum","22"
"Core","uri://education.mn.gov/CurriculumUsedDescriptor","CurriculumUsedDescriptor","BC","Buttercups (by Funshine Express)","Buttercups (by Funshine Express)","32"
"Core","uri://education.mn.gov/CurriculumUsedDescriptor","CurriculumUsedDescriptor","BTL","Between the Lions ? Language, Literacy, Communications only","Between the Lions ? Language, Literacy, Communications only","59"
"Core","uri://education.mn.gov/CurriculumUsedDescriptor","CurriculumUsedDescriptor","CAC","Carol's Affordable Curriculum","Carol's Affordable Curriculum","29"
"Core","uri://education.mn.gov/CurriculumUsedDescriptor","CurriculumUsedDescriptor","CC","Curiosity Corner: Success for All","Curiosity Corner: Success for All ? Language, Literacy, Communications only","33"
"Core","uri://education.mn.gov/CurriculumUsedDescriptor","CurriculumUsedDescriptor","CORE","Core Knowledge","Core Knowledge","14"
"Core","uri://education.mn.gov/CurriculumUsedDescriptor","CurriculumUsedDescriptor","CRCUE","Creative Curriculum for Infants, Toddlers and Twos (Third Edition)","Creative Curriculum for Infants, Toddlers and Twos (Third Edition)","66"
"Core","uri://education.mn.gov/CurriculumUsedDescriptor","CurriculumUsedDescriptor","CRCUP","Creative Curriculum for Preschool (Second Edition)","Creative Curriculum for Preschool (Second Edition)","50"
"Core","uri://education.mn.gov/CurriculumUsedDescriptor","CurriculumUsedDescriptor","DIG","DIG-Develop Inspire Grow, 1st Edition","DIG-Develop Inspire Grow, 1st Edition ? Language, Literacy, Communications only","37"
"Core","uri://education.mn.gov/CurriculumUsedDescriptor","CurriculumUsedDescriptor","DLM","DLM Early Learning Express ? Language, Literacy, Communications only","DLM Early Learning Express ? Language, Literacy, Communications only","68"
"Core","uri://education.mn.gov/CurriculumUsedDescriptor","CurriculumUsedDescriptor","ECFE","Early Childhood Family Education","Early Childhood Family Education","32"
"Core","uri://education.mn.gov/CurriculumUsedDescriptor","CurriculumUsedDescriptor","ELS","Early Learning Success","Early Learning Success","22"
