"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","1","Independent Districts and Schools","Independent Districts and Schools","33"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","2","Common Districts and Schools","Common Districts and Schools","28"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","21","Community Colleges","Community Colleges","18"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","22","State Universities","State Universities","18"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","23","University of Minnesota system","University of Minnesota system","30"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","24","Private Colleges","Private Colleges","16"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","25","Combined Community / Technical Colleges","Combined Community / Technical Colleges","39"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","26","Non-Profit Program Provider","Non-Profit Program Provider","27"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","3","Special Districts and Schools","Special Districts and Schools","29"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","31","Nonpublic Schools in Independent Districts","Nonpublic Schools in Independent Districts","42"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","32","Nonpublic Schools in Common Districts","Nonpublic Schools in Common Districts","37"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","33","Nonpublic Schools in Special Districts","Nonpublic Schools in Special Districts","38"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","34","Bureau of Indian Education (BIE) Tribal Schools","Bureau of Indian Education (BIE) Tribal Schools","47"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","35","Reserved","Reserved","8"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","36","Nonpublic Archdiocese","Nonpublic Archdiocese","21"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","38","South Dakota School Districts","South Dakota School Districts","29"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","39","Reserved (historical)","Reserved (historical)","21"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","4","Technical Colleges and Campuses","Technical Colleges and Campuses","31"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","5","Reserved (historical)","Reserved (historical)","21"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","50","Miscellaneous Cooperatives","Miscellaneous Cooperatives","26"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","51","Vocational Cooperatives","Vocational Cooperatives","23"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","52","Special Education Cooperatives","Special Education Cooperatives","30"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","53","Vocational and Special Education Cooperatives","Vocational and Special Education Cooperatives","45"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","54","Carl Perkins Consortium","Carl Perkins Consortium","23"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","6","Intermediate Districts and Schools","Intermediate Districts and Schools","34"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","60","Correctional Facilities","Correctional Facilities","23"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","61","Education Districts","Education Districts","19"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","62","Secondary Facilities Cooperatives","Secondary Facilities Cooperatives","33"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","7","Charter Schools","Charter Schools","15"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","70","State Operated Schools","State Operated Schools (which include MN Academy Deaf & Blind, School for the Arts)","22"
"Extension","uri://education.mn.gov/DistrictTypeDescriptor","DistrictTypeDescriptor","75","Residential Facilities - Neglected/Delinquent","Residential Facilities - Neglected/Delinquent","45"
