"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","1","Grade 1","Grade 1","7"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","10","Grade 10","Grade 10","8"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","11","Grade 11","Grade 11","8"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","12","Grade 12","Grade 12","8"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","2","Grade 2","Grade 2","7"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","3","Grade 3","Grade 3","7"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","4","Grade 4","Grade 4","7"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","5","Grade 5","Grade 5","7"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","6","Grade 6","Grade 6","7"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","7","Grade 7","Grade 7","7"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","8","Grade 8","Grade 8","7"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","9","Grade 9","Grade 9","7"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","EE","Early Education Enrollment","A child enrolled in an Early Education program: School Readiness or Early Childhood Family Education","26"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","HK - DO NOT USE","Kindergarten Disabled","Students in kindergarten and have an IFSP/IEP, irrespective of the special education program to which they are assigned. HK students should not be included in regular kindergarten.","21"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","KA","Kindergarten Section A","Kindergarten Section A","22"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","KB","Kindergarten Section B","Kindergarten Section B","22"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","KC","Kindergarten Section C","Kindergarten Section C","22"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","KD","Kindergarten Section D","Kindergarten Section D","22"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","KE","Kindergarten Section E","Kindergarten Section E","22"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","KF","Kindergarten Section F","Kindergarten Section F","22"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","KG","Kindergarten Section G","Kindergarten Section G","22"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","KI","Kindergarten Section I","Kindergarten Section I","22"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","KJ","Kindergarten Section J","Kindergarten Section J","22"
"Core","uri://education.mn.gov/GradeLevelDescriptor","GradeLevelDescriptor","KK","Kindergarten Section K","Kindergarten Section K","22"
