"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","1","Afrikaans","Afrikaans","9"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","2","Arabic","Arabic","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","3","Armenian","Armenian","8"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","4","Czech","Czech","5"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","5","Khmer, Cambodian","Khmer, Cambodian","16"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","6","Cheyenne","Cheyenne","8"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","7","Chinese, Mandarin","Chinese, Mandarin","17"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","8","Dakota","Dakota","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","9","Danish","Danish","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","10","Bengali","Bengali","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","11","English","English","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","12","Estonian","Estonian","8"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","13","Farsi","Farsi","5"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","14","Finnish","Finnish","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","15","French","French","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","16","Gaelic","Gaelic","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","17","German","German","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","18","Hebrew","Hebrew","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","19","Hindi","Hindi","5"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","20","Hmong","Hmong","5"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","21","Hungarian","Hungarian","9"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","22","Icelandic","Icelandic","9"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","23","Italian","Italian","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","24","Japanese","Japanese","8"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","25","Mongolian","Mongolian","9"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","26","Korean","Korean","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","27","Kurdish","Kurdish","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","28","Laotian","Laotian","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","29","Latvian","Latvian","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","31","Lithuanian","Lithuanian","10"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","32","Indonesian","Indonesian","10"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","33","Dutch","Dutch","5"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","34","Norwegian","Norwegian","9"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","35","Ojibwa","Ojibwa","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","36","Cebuano","Cebuano","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","37","Polish","Polish","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","38","Portuguese","Portuguese","10"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","39","Romanian","Romanian","8"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","40","Russian","Russian","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","41","Bosnian","Bosnian","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","42","American Sign Language","American Sign Language","22"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","43","Slovak","Slovak","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","44","Slovenian","Slovenian","9"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","45","Spanish","Spanish","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","46","Swedish","Swedish","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","47","Thai","Thai","4"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","48","Turkish","Turkish","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","49","Ukrainian","Ukrainian","9"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","51","Vietnamese","Vietnamese","10"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","52","Not Specific","Not Specific","12"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","54","Greek","Greek","5"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","55","Burmese","Burmese","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","56","Samoan","Samoan","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","57","English Creole","English Creole","14"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","58","Sinhala","Sinhala","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","59","Yiddish","Yiddish","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","60","Pashto","Pashto","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","61","Iu Mien","Iu Mien","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","62","Dzongkha","Dzongkha","8"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","63","Amharic","Amharic","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","64","Bulgarian","Bulgarian","9"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","65","Igbo","Igbo","4"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","66","Fulah","Fulah","5"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","67","Lingala","Lingala","7"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","68","Nepali","Nepali","6"
"Core","uri://education.mn.gov/LanguageDescriptor","LanguageDescriptor","69","Somali","Somali","6"
