"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","BH","Blended","Blended/Hybrid","7"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","CC","Classroom_Coll","Classroom Collaborative","14"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","CL","Classroom_Loop","Classroom Looped","14"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","CO","Online","Completely Online","6"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","CP","Computer","Computer Program","8"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","CR","Classroom","Classroom","9"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","CS","Classroom_Self","Classroom Self-Contained","14"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","CT","Classroom_Team","Classroom Team","14"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","DFSL","District-Funded Supplemental","Use this designation for district-funded online courses that can be taken to replace courses offered in the enrolling district.","28"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","DL","Distance Learning","Distance Learning (other than online)","17"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","EE","EarlyEduc","Early Education","9"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","G","Guided","Guided","6"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","ITVR","ITVRecv","ITV Receiving","7"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","ITVS","ITVSend","ITV Sending","7"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","O","Other","Other","5"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","SFSL","State-Funded Supplemental","Use this designation for state-funded online courses that can be taken to replace courses offered in the enrolling district. One specific use is by state-approved online providers to indicate supplemental online courses. ","25"
"Core","uri://education.mn.gov/MediumOfInstructionDescriptor","MediumOfInstructionDescriptor","SL","Supplemental","Use this designation for online courses that can be taken to replace courses offered in the enrolling district. One specific use is by state-approved online providers to indicate supplemental online courses.","12"
