"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/NeglectedOrDelinquentProgramServiceDescriptor","NeglectedOrDelinquentProgramServiceDescriptor","1","GED","High School Graduation/GED","3"
"Core","uri://education.mn.gov/NeglectedOrDelinquentProgramServiceDescriptor","NeglectedOrDelinquentProgramServiceDescriptor","10","Assistance Obtaining Student Financial Aid","Help navigating through FAFSA program","42"
"Core","uri://education.mn.gov/NeglectedOrDelinquentProgramServiceDescriptor","NeglectedOrDelinquentProgramServiceDescriptor","11","Transitional Career Counseling Services","Locating Transition Program/Serv","39"
"Core","uri://education.mn.gov/NeglectedOrDelinquentProgramServiceDescriptor","NeglectedOrDelinquentProgramServiceDescriptor","2","Credit","Credit","6"
"Core","uri://education.mn.gov/NeglectedOrDelinquentProgramServiceDescriptor","NeglectedOrDelinquentProgramServiceDescriptor","3","Industrial Certification","Industrial Certification","24"
"Core","uri://education.mn.gov/NeglectedOrDelinquentProgramServiceDescriptor","NeglectedOrDelinquentProgramServiceDescriptor","4","Personal Education Plans","Personal Education Plans","24"
"Core","uri://education.mn.gov/NeglectedOrDelinquentProgramServiceDescriptor","NeglectedOrDelinquentProgramServiceDescriptor","5","College and Career Readiness","Preparing students for the next step in their educational journey","28"
"Core","uri://education.mn.gov/NeglectedOrDelinquentProgramServiceDescriptor","NeglectedOrDelinquentProgramServiceDescriptor","6","Family and Student involvement","Allowing Families & Students to Make Decision in Services Provided","30"
"Core","uri://education.mn.gov/NeglectedOrDelinquentProgramServiceDescriptor","NeglectedOrDelinquentProgramServiceDescriptor","7","Tutoring, Mentoring Services","Tutoring, Mentoring Services","28"
"Core","uri://education.mn.gov/NeglectedOrDelinquentProgramServiceDescriptor","NeglectedOrDelinquentProgramServiceDescriptor","8","Mental Health Services","Mental Health Services","22"
"Core","uri://education.mn.gov/NeglectedOrDelinquentProgramServiceDescriptor","NeglectedOrDelinquentProgramServiceDescriptor","9","Job Placement Services or Apprenticeship","Job Placement Services or Apprenticeship","40"
