"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/ProgramSectionDescriptor","ProgramSectionDescriptor","A","Section A","Section A","9"
"Core","uri://education.mn.gov/ProgramSectionDescriptor","ProgramSectionDescriptor","B","Section B","Section B","9"
"Core","uri://education.mn.gov/ProgramSectionDescriptor","ProgramSectionDescriptor","C","Section C","Section C","9"
"Core","uri://education.mn.gov/ProgramSectionDescriptor","ProgramSectionDescriptor","D","Section D","Section D","9"
"Core","uri://education.mn.gov/ProgramSectionDescriptor","ProgramSectionDescriptor","E","Section E","Section E","9"
"Core","uri://education.mn.gov/ProgramSectionDescriptor","ProgramSectionDescriptor","F","Section F","Section F","9"
"Core","uri://education.mn.gov/ProgramSectionDescriptor","ProgramSectionDescriptor","G","Section G","Section G","9"
"Core","uri://education.mn.gov/ProgramSectionDescriptor","ProgramSectionDescriptor","H","Section H","Section H","9"
"Core","uri://education.mn.gov/ProgramSectionDescriptor","ProgramSectionDescriptor","I","Section I","Section I","9"
"Core","uri://education.mn.gov/ProgramSectionDescriptor","ProgramSectionDescriptor","J","Section J","Section J","9"
