"Mapping Method","Namespace","Descriptor Name","Code Value","Short Description","Description","Length of Short Desc"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","assessmentReportingMethodDescriptor","ACHL","Assessment Achievement Level","Assessment Achievement Level","28"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","assessmentReportingMethodDescriptor","LEXL","Lexile Lower","Lexile Lower","12"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","assessmentReportingMethodDescriptor","LEXS","Lexile Score","Lexile Score","12"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","assessmentReportingMethodDescriptor","LEXU","Lexile Upper","Lexile Upper","12"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","assessmentReportingMethodDescriptor","QNTL","Quantile Lower","Quantile Lower","14"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","assessmentReportingMethodDescriptor","QNTS","Quantile Score","Quantile Score","14"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","assessmentReportingMethodDescriptor","QNTU","Quantile Upper","Quantile Upper","14"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","assessmentReportingMethodDescriptor","RSCO","RAW SCORE","RAW SCORE","9"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","assessmentReportingMethodDescriptor","SEM","Standard Error of Measurement","Standard Error of Measurement","29"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","assessmentReportingMethodDescriptor","SES","Standard Error of Measurement for Scale Score","Standard Error of Measurement for Scale Score","45"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","assessmentReportingMethodDescriptor","SPL","Strand Performance Level","Strand Performance Level","24"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","assessmentReportingMethodDescriptor","SSCC","SCALE SCORE (Career College Readiness Score)","SCALE SCORE (Career College Readiness Score)","44"
"Core","uri://education.mn.gov/mcamtas/assessmentReportingMethodDescriptor","assessmentReportingMethodDescriptor","SSCO","SCALE SCORE","SCALE SCORE","11"
